LocalityDescription;TaxonomicName;NumberOfUnits
A3.2002;Oedothorax apicatus (Blackwall, 1850);292
A3.2002;Oedothorax fuscus (Blackwall, 1834);181
A3.2002;Oedothorax retusus (Westring, 1851);7
A3.2002;Ostearius melanopygius (O. P.-Cambridge, 1879);8
A3.2002;Pachygnatha clercki Sundevall, 1823;5
A3.2002;Pachygnatha degeeri Sundevall, 1830;97
A3.2002;Palliduphantes insignis (O. P.-Cambridge, 1913);1
A3.2002;Palliduphantes pallidus (O. P.-Cambridge, 1871);1
A3.2002;Pardosa amentata (Clerck, 1757);108
A3.2002;Pardosa palustris (Linnaeus, 1758);136
A3.2002;Pardosa prativaga (L. Koch, 1870);1
A3.2002;Pardosa pullata (Clerck, 1757);5
A3.2002;Porrhomma errans (Blackwall, 1841);4
A3.2002;Porrhomma microphthalmum (O. P.-Cambridge, 1871);1
A3.2002;Silometopus reussi (Thorell, 1871);15
A3.2002;Stemonyphantes lineatus (Linnaeus, 1758);1
A3.2002;Tenuiphantes tenuis (Blackwall, 1852);14
A3.2002;Trochosa ruricola (De Geer, 1778);31
A3.2002;Trochosa terricola Thorell, 1856;2
A3.2002;Troxochrus scabriculus (Westring, 1851);21
A3.2002;Xysticus cristatus (Clerck, 1757);2
A4.2002;Agyneta rurestris (C. L. Koch, 1836);1
A4.2002;Agyneta saxatilis (Blackwall, 1844);7
A4.2002;Alopecosa pulverulenta (Clerck, 1757);146
A4.2002;Bathyphantes gracilis (Blackwall, 1841);21
A4.2002;Bathyphantes parvulus (Westring, 1851);16
A4.2002;Centromerita bicolor (Blackwall, 1833);1
A4.2002;Ceratinella brevis (Wider, 1834);6
A4.2002;Collinsia inerrans (O. P.-Cambridge, 1885);1
A4.2002;Diplocephalus cristatus (Blackwall, 1833);1
A4.2002;Diplostyla concolor (Wider, 1834);10
A4.2002;Erigone atra Blackwall, 1833;36
A4.2002;Erigone dentipalpis (Wider, 1834);6
A4.2002;Erigone longipalpis (Sundevall, 1830);1
A4.2002;Euophrys frontalis (Walckenaer, 1802);1
A4.2002;Micaria pulicaria (Sundevall, 1831);1
A4.2002;Micrargus herbigradus (Blackwall, 1854);1
A4.2002;Monocephalus fuscipes (Blackwall, 1836);1
A4.2002;Neriene clathrata (Sundevall, 1830);1
A4.2002;Oedothorax apicatus (Blackwall, 1850);24
A4.2002;Oedothorax fuscus (Blackwall, 1834);5
A4.2002;Pachygnatha clercki Sundevall, 1823;1
A4.2002;Pachygnatha degeeri Sundevall, 1830;85
A4.2002;Palliduphantes insignis (O. P.-Cambridge, 1913);4
A4.2002;Pardosa amentata (Clerck, 1757);5
A4.2002;Pardosa nigriceps (Thorell, 1856);1
A4.2002;Pardosa palustris (Linnaeus, 1758);23
A4.2002;Pardosa pullata (Clerck, 1757);268
A4.2002;Phrurolithus festivus (C. L. Koch, 1835);6
A4.2002;Pisaura mirabilis (Clerck, 1757);1
A4.2002;Pocadicnemis juncea Locket & Millidge, 1953;7
A4.2002;Porrhomma microphthalmum (O. P.-Cambridge, 1871);1
A4.2002;Tenuiphantes tenuis (Blackwall, 1852);11
A4.2002;Trachyzelotes pedestris (C. L. Koch, 1837);4
A4.2002;Trochosa terricola Thorell, 1856;37
A4.2002;Troxochrus scabriculus (Westring, 1851);4
A4.2002;Walckenaeria antica (Wider, 1834);1
A4.2002;Walckenaeria atrotibialis (O. P.-Cambridge, 1978);14
A5.2002;Bathyphantes gracilis (Blackwall, 1841);3
A5.2002;Bathyphantes parvulus (Westring, 1851);40
A5.2002;Centromerus sylvaticus (Blackwall, 1841);1
A5.2002;Coelotes terrestris (Wider, 1834);11
A5.2002;Collinsia inerrans (O. P.-Cambridge, 1885);1
A5.2002;Diplostyla concolor (Wider, 1834);14
A5.2002;Eratigena picta (Simon, 1870);2
A5.2002;Gonatium rubens (Blackwall, 1833);10
A5.2002;Gongylidiellum latebricola (O. P.-Cambridge, 1871);3
A5.2002;Hahnia nava (Blackwall, 1841);1
A5.2002;Metellina mengei (Blackwall, 1869);2
A5.2002;Micrargus herbigradus (Blackwall, 1854);21
A5.2002;Monocephalus fuscipes (Blackwall, 1836);56
A5.2002;Neriene clathrata (Sundevall, 1830);2
A5.2002;Pachygnatha degeeri Sundevall, 1830;3
A5.2002;Palliduphantes ericaeus (Blackwall, 1853);9
A5.2002;Palliduphantes insignis (O. P.-Cambridge, 1913);5
A5.2002;Palliduphantes pallidus (O. P.-Cambridge, 1871);10
A5.2002;Pardosa nigriceps (Thorell, 1856);2
A5.2002;Pardosa pullata (Clerck, 1757);1
A5.2002;Pelecopsis radicicola (L. Koch, 1872);1
A5.2002;Pocadicnemis juncea Locket & Millidge, 1953;1
A5.2002;Pardosa saltans;0
A5.2002;Saaristoa abnormis (Blackwall, 1841);9
A5.2002;Stemonyphantes lineatus (Linnaeus, 1758);1
A5.2002;Tenuiphantes tenuis (Blackwall, 1852);14
A5.2002;Tenuiphantes zimmermanni (Bertkau, 1890);1
A5.2002;Trochosa terricola Thorell, 1856;8
A5.2002;Walckenaeria atrotibialis (O. P.-Cambridge, 1978);1
A5.2002;Walckenaeria cuspidata Blackwall, 1833;4
A5.2002;Walckenaeria unicornis O. P.-Cambridge, 1861;1
A5.2002;Zora spinimana (Sundevall, 1833);4
A3.2002;Pardosa lugubris s. l.;0
A1.2002;Drassyllus lutetianus (L. Koch, 1866);0
A1.2002;Ero cambridgei Kulczynski, 1911;0
A1.2002;Walckenaeria acuminata Blackwall, 1833;0
A1.2002;Agroeca brunnea (Blackwall, 1833);0
A1.2002;Piratula hygrophila (Thorell, 1872);0
A1.2002;Tapinocyba praecox (O. P.-Cambridge, 1873);0
A1.2002;Zelotes subterraneus (C. L. Koch, 1833);0
A1.2002;Clubiona lutescens Westring, 1851;0
A1.2002;Walckenaeria vigilax (Blackwall, 1853);0
A1.2002;Zelotes petrensis (C. L. Koch, 1839);0
A1.2002;Argenna subnigra (O. P.-Cambridge, 1861);0
A1.2002;Clubiona neglecta O. P.-Cambridge, 1862;0
A1.2002;Dysdera crocata C. L. Koch, 1838;0
A1.2002;Eratigena atrica (C. L. Koch, 1843);0
A1.2002;Ozyptila atomaria (Panzer, 1801);0
A1.2002;Arctosa leopardus (Sundevall, 1833);0
A1.2002;Ballus chalybeius (Walckenaer, 1802);0
A1.2002;Centromerus sellarius (Simon, 1884);0
A1.2002;Centromerus serratus (O. P.-Cambridge, 1875);0
A1.2002;Drassodes pubescens (Thorell, 1856);0
A1.2002;Enoplognatha mordax (Thorell, 1875);0
A1.2002;Eratigena agrestis (Walckenaer, 1802);0
A1.2002;Euryopis flavomaculata (C. L. Koch, 1836);0
A1.2002;Haplodrassus signifer (C. L. Koch, 1839);0
A1.2002;Harpactea rubicunda (C. L. Koch, 1838);0
A1.2002;Lepthyphantes leprosus (Ohlert, 1865);0
A1.2002;Ozyptila trux (Blackwall, 1846);0
A1.2002;Pardosa agrestis (Westring, 1861);0
A1.2002;Porrhomma campbelli F. O. P.-Cambridge, 1894;0
A1.2002;Tenuiphantes cristatus (Menge, 1866);0
A1.2002;Walckenaeria alticeps (Denis, 1952);0
A1.2002;Walckenaeria cucullata (C. L. Koch, 1836);0
A1.2002;Zelotes aeneus (Simon, 1878);0
A1.2002;Zodarion italicum (Canestrini, 1868);0
