LocalityDescription;TaxonomicName;NumberOfUnits
A1.2018;Agelena labyrinthica (Clerck, 1757);1
A1.2018;Agroeca cuprea Menge, 1873;18
A1.2018;Alopecosa cuneata (Clerck, 1757);13
A1.2018;Alopecosa pulverulenta (Clerck, 1757);67
A1.2018;Atypus piceus (Sulzer, 1776);2
A1.2018;Aulonia albimana (Walckenaer, 1805);3
A1.2018;Bathyphantes parvulus (Westring, 1851);2
A1.2018;Cicurina cicur (Fabricius, 1793);2
A1.2018;Clubiona comta C. L. Koch, 1839;1
A1.2018;Cnephalocotes obscurus (Blackwall, 1834);5
A1.2018;Dicymbium tibiale (Blackwall, 1836);1
A1.2018;Drassyllus pusillus (C. L. Koch, 1833);1
A1.2018;Dysdera erythrina (Walckenaer, 1802);5
A1.2018;Eratigena picta (Simon, 1870);1
A1.2018;Euophrys frontalis (Walckenaer, 1802);5
A1.2018;Gonatium rubens (Blackwall, 1833);3
A1.2018;Hahnia nava (Blackwall, 1841);6
A1.2018;Histopona torpida (C. L. Koch, 1837);1
A1.2018;Micaria pulicaria (Sundevall, 1831);5
A1.2018;Ozyptila claveata (Walckenaer, 1837);1
A1.2018;Ozyptila simplex (O. P.-Cambridge, 1862);3
A1.2018;Pachygnatha degeeri Sundevall, 1830;1
A1.2018;Pardosa nigriceps (Thorell, 1856);1
A1.2018;Pardosa palustris (Linnaeus, 1758);2
A1.2018;Pardosa prativaga (L. Koch, 1870);1
A1.2018;Pardosa pullata (Clerck, 1757);41
A1.2018;Phlegra fasciata (Hahn, 1826);1
A1.2018;Phrurolithus festivus (C. L. Koch, 1835);12
A1.2018;Piratula latitans (Blackwall, 1841);1
A1.2018;Piratula uliginosa (Thorell, 1856);29
A1.2018;Stemonyphantes lineatus (Linnaeus, 1758);1
A1.2018;Tenuiphantes tenebricola (Wider, 1834);1
A1.2018;Tenuiphantes tenuis (Blackwall, 1852);3
A1.2018;Tibellus oblongus (Walckenaer, 1802);1
A1.2018;Trachyzelotes pedestris (C. L. Koch, 1837);4
A1.2018;Trochosa ruricola (De Geer, 1778);1
A1.2018;Trochosa terricola Thorell, 1856;70
A1.2018;Walckenaeria atrotibialis (O. P.-Cambridge, 1978);2
A1.2018;Xysticus cristatus (Clerck, 1757);3
A1.2018;Xysticus kochi Thorell, 1872;2
A1.2018;Zelotes latreillei (Simon, 1878);25
A1.2018;Zora spinimana (Sundevall, 1833);2
A2.2018;Agyneta rurestris (C. L. Koch, 1836);1
A2.2018;Alopecosa cuneata (Clerck, 1757);4
A2.2018;Bathyphantes gracilis (Blackwall, 1841);4
A1.2018;Bathyphantes parvulus (Westring, 1851);1
A2.2018;Centromerita bicolor (Blackwall, 1833);4
A2.2018;Centromerita concinna (Thorell, 1875);5
A2.2018;Cicurina cicur (Fabricius, 1793);1
A2.2018;Collinsia inerrans (O. P.-Cambridge, 1885);1
A2.2018;Dicymbium nigrum (Blackwall, 1834);1
A2.2018;Dicymbium tibiale (Blackwall, 1836);1
A2.2018;Diplocephalus latifrons (O. P.-Cambridge, 1863);6
A2.2018;Diplostyla concolor (Wider, 1834);14
A2.2018;Drassyllus pusillus (C. L. Koch, 1833);2
A2.2018;Erigone atra Blackwall, 1833;9
A2.2018;Erigone dentipalpis (Wider, 1834);14
A2.2018;Erigone longipalpis (Sundevall, 1830);1
A2.2018;Micrargus herbigradus (Blackwall, 1854);2
A2.2018;Micrargus subaequalis (Westring, 1851);14
A2.2018;Oedothorax apicatus (Blackwall, 1850);3
A2.2018;Oedothorax fuscus (Blackwall, 1834);1
A2.2018;Oedothorax retusus (Westring, 1851);2
A2.2018;Pachygnatha degeeri Sundevall, 1830;9
A2.2018;Palliduphantes pallidus (O. P.-Cambridge, 1871);1
A2.2018;Pardosa amentata (Clerck, 1757);11
A2.2018;Pardosa nigriceps (Thorell, 1856);1
A2.2018;Pardosa palustris (Linnaeus, 1758);30
A2.2018;Pardosa pullata (Clerck, 1757);4
A2.2018;Pardosa tenuipes;1
A2.2018;Tenuiphantes tenuis (Blackwall, 1852);36
A2.2018;Trachyzelotes pedestris (C. L. Koch, 1837);1
A2.2018;Trochosa ruricola (De Geer, 1778);8
A2.2018;Trochosa terricola Thorell, 1856;1
A2.2018;Troxochrus scabriculus (Westring, 1851);22
A2.2018;Xysticus kochi Thorell, 1872;1
A3.2018;Alopecosa cuneata (Clerck, 1757);27
A3.2018;Alopecosa pulverulenta (Clerck, 1757);323
A3.2018;Bathyphantes gracilis (Blackwall, 1841);1
A3.2018;Centromerita bicolor (Blackwall, 1833);1
A3.2018;Coelotes terrestris (Wider, 1834);1
A3.2018;Drassyllus pusillus (C. L. Koch, 1833);7
A3.2018;Enoplognatha latimana Hippa & Oksala, 1982;1
A3.2018;Enoplognatha thoracica (Hahn, 1833);3
A3.2018;Eratigena picta (Simon, 1870);1
A3.2018;Erigone atra Blackwall, 1833;2
A3.2018;Erigone dentipalpis (Wider, 1834);2
A3.2018;Micaria pulicaria (Sundevall, 1831);1
A3.2018;Oedothorax apicatus (Blackwall, 1850);15
A3.2018;Pachygnatha degeeri Sundevall, 1830;77
A3.2018;Palliduphantes pallidus (O. P.-Cambridge, 1871);1
A3.2018;Pardosa amentata (Clerck, 1757);70
A3.2018;Pardosa lugubris s. l.;1
A3.2018;Pardosa nigriceps (Thorell, 1856);1
A3.2018;Pardosa palustris (Linnaeus, 1758);349
A3.2018;Pardosa prativaga (L. Koch, 1870);6
A3.2018;Pardosa pullata (Clerck, 1757);168
A3.2018;Pelecopsis parallela (Wider, 1834);1
A3.2018;Tenuiphantes tenuis (Blackwall, 1852);2
A3.2018;Trachyzelotes pedestris (C. L. Koch, 1837);10
A3.2018;Trochosa ruricola (De Geer, 1778);11
A3.2018;Troxochrus scabriculus (Westring, 1851);2
A3.2018;Xysticus kochi Thorell, 1872;142
