LocalityDescription;TaxonomicName;NumberOfUnits
A3.2018;Zelotes latreillei (Simon, 1878);1
A4.2018;Alopecosa cuneata (Clerck, 1757);10
A4.2018;Alopecosa pulverulenta (Clerck, 1757);176
A4.2018;Bolyphantes alticeps (Sundevall, 1833);1
A4.2018;Centromerita bicolor (Blackwall, 1833);1
A4.2018;Diplostyla concolor (Wider, 1834);16
A4.2018;Drassyllus pusillus (C. L. Koch, 1833);25
A4.2018;Enoplognatha thoracica (Hahn, 1833);2
A4.2018;Eratigena picta (Simon, 1870);1
A4.2018;Erigone atra Blackwall, 1833;20
A4.2018;Erigone dentipalpis (Wider, 1834);6
A4.2018;Ero furcata (Villers, 1789);1
A4.2018;Euophrys frontalis (Walckenaer, 1802);1
A4.2018;Hahnia nava (Blackwall, 1841);2
A4.2018;Mermessus trilobatus (Emerton, 1882);3
A4.2018;Micaria pulicaria (Sundevall, 1831);1
A4.2018;Micrargus herbigradus (Blackwall, 1854);3
A4.2018;Micrargus subaequalis (Westring, 1851);5
A4.2018;Neon reticulatus (Blackwall, 1853);1
A4.2018;Oedothorax apicatus (Blackwall, 1850);1
A4.2018;Oedothorax fuscus (Blackwall, 1834);3
A4.2018;Oedothorax retusus (Westring, 1851);1
A4.2018;Ozyptila praticola (C. L. Koch, 1837);12
A4.2018;Pachygnatha degeeri Sundevall, 1830;18
A4.2018;Palliduphantes insignis (O. P.-Cambridge, 1913);2
A4.2018;Pardosa palustris (Linnaeus, 1758);254
A4.2018;Pardosa prativaga (L. Koch, 1870);1
A4.2018;Pardosa pullata (Clerck, 1757);61
A4.2018;Pocadicnemis pumila (Blackwall, 1841);1
A4.2018;Stemonyphantes lineatus (Linnaeus, 1758);3
A4.2018;Tenuiphantes flavipes (Blackwall, 1854);6
A4.2018;Tenuiphantes mengei (Kulczynski, 1887);2
A4.2018;Tenuiphantes tenuis (Blackwall, 1852);39
A4.2018;Tiso vagans (Blackwall, 1834);4
A4.2018;Trachyzelotes pedestris (C. L. Koch, 1837);2
A4.2018;Trochosa ruricola (De Geer, 1778);64
A4.2018;Trochosa terricola Thorell, 1856;93
A4.2018;Walckenaeria atrotibialis (O. P.-Cambridge, 1978);5
A4.2018;Xysticus kochi Thorell, 1872;15
A4.2018;Xysticus ulmi (Hahn, 1831);1
A5.2018;Pardosa saltans;0
A5.2018;Alopecosa pulverulenta (Clerck, 1757);2
A5.2018;Aulonia albimana (Walckenaer, 1805);1
A5.2018;Clubiona reclusa O. P.-Cambridge, 1863;1
A5.2018;Coelotes terrestris (Wider, 1834);18
A5.2018;Diplostyla concolor (Wider, 1834);1
A5.2018;Enoplognatha latimana Hippa & Oksala, 1982;2
A5.2018;Gonatium rubens (Blackwall, 1833);3
A5.2018;Gongylidiellum latebricola (O. P.-Cambridge, 1871);1
A5.2018;Micrargus herbigradus (Blackwall, 1854);2
A5.2018;Ozyptila praticola (C. L. Koch, 1837);2
A5.2018;Palliduphantes pallidus (O. P.-Cambridge, 1871);3
A5.2018;Pardosa amentata (Clerck, 1757);3
A5.2018;Piratula uliginosa (Thorell, 1856);1
A5.2018;Saaristoa abnormis (Blackwall, 1841);2
A5.2018;Scytodes thoracica (Latreille, 1802);1
A5.2018;Tenuiphantes flavipes (Blackwall, 1854);2
A5.2018;Tenuiphantes tenuis (Blackwall, 1852);10
A5.2018;Tenuiphantes zimmermanni (Bertkau, 1890);19
A5.2018;Trochosa ruricola (De Geer, 1778);1
A5.2018;Trochosa terricola Thorell, 1856;14
A5.2018;Walckenaeria atrotibialis (O. P.-Cambridge, 1978);1
A1.2018;Drassyllus lutetianus (L. Koch, 1866);0
A1.2018;Ero cambridgei Kulczynski, 1911;0
A1.2018;Walckenaeria acuminata Blackwall, 1833;0
A1.2018;Agroeca brunnea (Blackwall, 1833);0
A1.2018;Piratula hygrophila (Thorell, 1872);0
A1.2018;Tapinocyba praecox (O. P.-Cambridge, 1873);0
A1.2018;Zelotes subterraneus (C. L. Koch, 1833);0
A1.2018;Clubiona lutescens Westring, 1851;0
A1.2018;Walckenaeria vigilax (Blackwall, 1853);0
A1.2018;Zelotes petrensis (C. L. Koch, 1839);0
A1.2018;Argenna subnigra (O. P.-Cambridge, 1861);0
A1.2018;Clubiona neglecta O. P.-Cambridge, 1862;0
A1.2018;Dysdera crocata C. L. Koch, 1838;0
A1.2018;Eratigena atrica (C. L. Koch, 1843);0
A1.2018;Ozyptila atomaria (Panzer, 1801);0
A1.2018;Arctosa leopardus (Sundevall, 1833);0
A1.2018;Ballus chalybeius (Walckenaer, 1802);0
A1.2018;Centromerus sellarius (Simon, 1884);0
A1.2018;Centromerus serratus (O. P.-Cambridge, 1875);0
A1.2018;Drassodes pubescens (Thorell, 1856);0
A1.2018;Enoplognatha mordax (Thorell, 1875);0
A1.2018;Eratigena agrestis (Walckenaer, 1802);0
A1.2018;Euryopis flavomaculata (C. L. Koch, 1836);0
A1.2018;Haplodrassus signifer (C. L. Koch, 1839);0
A1.2018;Harpactea rubicunda (C. L. Koch, 1838);0
A1.2018;Lepthyphantes leprosus (Ohlert, 1865);0
A1.2018;Ozyptila trux (Blackwall, 1846);0
A1.2018;Pardosa agrestis (Westring, 1861);0
A1.2018;Porrhomma campbelli F. O. P.-Cambridge, 1894;0
A1.2018;Tenuiphantes cristatus (Menge, 1866);0
A1.2018;Walckenaeria alticeps (Denis, 1952);0
A1.2018;Walckenaeria cucullata (C. L. Koch, 1836);0
A1.2018;Zelotes aeneus (Simon, 1878);0
A1.2018;Zodarion italicum (Canestrini, 1868);0
