	Familie	KL min	KL max	KL Median	BioMass	HuntingMode	SizeClass	Dispersal	L_Std	M_Std
Ozyptila atomaria (Panzer, 1801)	Thomisidae	3	6	4,5	10,29516339	Ambush hunters	III	0	0,3	0,63
Ozyptila claveata (Walckenaer, 1837)	Thomisidae	2	4	3	3,450041303	Ambush hunters	II	0	0,29	0,84
Ozyptila praticola (C. L. Koch, 1837)	Thomisidae	2,5	5,3	3,9	6,999368693	Ambush hunters	II	0	0,44	0,34
Ozyptila simplex (O. P.-Cambridge, 1862)	Thomisidae	2	5,1	3,55	5,431863055	Ambush hunters	II	1	0,16	0,39
Ozyptila trux (Blackwall, 1846)	Thomisidae	3	5,4	4,2	8,547537351	Ambush hunters	II	0	0,46	0,33
Pachygnatha clercki Sundevall, 1823	Tetragnathidae	3	4,2	3,6	5,640622333	Orb web	III	1	0,27	0,26
Pachygnatha degeeri Sundevall, 1830	Tetragnathidae	4,5	6	5,25	15,60081289	Orb web	II	1	0,27	0,38
Palliduphantes ericaeus (Blackwall, 1853)	Linyphiinae	1,3	2,4	1,85	0,936959007	Sheet web	I	1	0,38	0,31
Palliduphantes insignis (O. P.-Cambridge, 1913)	Linyphiinae	1,6	2,5	2,05	1,235750974	Sheet web	II	0	0,17	0,31
Palliduphantes pallidus (O. P.-Cambridge, 1871)	Linyphiinae	1,6	2,3	1,95	1,079860389	Sheet web	II	0	0,54	0,37
Pardosa agrestis (Westring, 1861)	Lycosidae	4,5	5	4,75	19,9378015	Ground hunter	III	1	0,12	0,3
Pardosa amentata (Clerck, 1757)	Lycosidae	6	7	6,5	27,74900417	Ground hunter	III	1	0,35	0,26
Pardosa lugubris (Walckenaer, 1802)	Lycosidae	4,6	8	6,3	25,50644641	Ground hunter	III	1	0,49	0,42
Pardosa nigriceps (Thorell, 1856)	Lycosidae	4,5	6,8	5,65	19,01658283	Ground hunter	III	1	0,34	0,36
Pardosa palustris (Linnaeus, 1758)	Lycosidae	5	7	6	22,36225287	Ground hunter	III	1	0,2	0,32
Pardosa prativaga (L. Koch, 1870)	Lycosidae	5,2	7,5	6,35	26,05596145	Ground hunter	III	1	0,2	0,26
Pardosa pullata (Clerck, 1757)	Lycosidae	4	6	5	13,67769219	Ground hunter	III	1	0,26	0,36
Pardosa saltans Töpfer-Hofmann, 2000	Lycosidae	4,6	7	5,8	20,40873	Ground hunter	III	1	0,49	0,42
Pardosa tenuipes L. Koch, 1882	Lycosidae	4,32	5,91	5,115	14,54257416	Ground hunter	III	1		
Pelecopsis parallela (Wider, 1834)	Erigoninae	1	1,8	1,4	0,441917091	Other hunters	I	1	0,15	0,31
Pelecopsis radicicola (L. Koch, 1872)	Erigoninae	1,3	1,7	1,5	0,532271282	Other hunters	I	1	0,59	0,4
Phlegra fasciata (Hahn, 1826)	Salticidae	4,3	7,6	5,95	21,86332153	Other hunters	III	1	0,17	0,54
Phrurolithus festivus (C. L. Koch, 1835)	Phrurolithidae	2,2	3,2	2,7	2,596837129	Ground hunter	II	0	0,29	0,43
Piratula hygrophila (Thorell, 1872)	Lycosidae	4,5	5,7	5,1	14,42786789	Ground hunter	III	1	0,24	0,3
Piratula latitans (Blackwall, 1841)	Lycosidae	2,5	5	3,75	6,296953921	Ground hunter	II	1	0,24	0,3
Piratula uliginosa (Thorell, 1856)	Lycosidae	4	5	4,5	10,29516339	Ground hunter	III	1	0,26	0,27
Pisaura mirabilis (Clerck, 1757)	Pisauridae	10	15	12,5	161,8118438	Sheet web	V	1	0,29	0,44
Pocadicnemis juncea Locket & Millidge, 1953	Erigoninae	1,7	2	1,85	0,936959007	Other hunters	I	0	0,26	0,29
Pocadicnemis pumila (Blackwall, 1841)	Erigoninae	1,8	2,3	2,05	1,235750974	Other hunters	I	0	0,36	0,39
Porrhomma campbelli F. O. P.-Cambridge, 1894	Linyphiinae	2	3	2,5	2,110190027	Sheet web	II	0	0,6	0,3
Porrhomma errans (Blackwall, 1841)	Linyphiinae	2	3	2,5	2,110190027	Sheet web	II	0	0,56	0,46
Porrhomma microphthalmum (O. P.-Cambridge, 1871)	Linyphiinae	1,5	2,2	1,85	0,936959007	Sheet web	I	1	0,24	0,29
Robertus lividus (Blackwall, 1836)	Theridiidae	2,5	4,5	3,5	5,228032504	Space web	II	0	0,51	0,33
Saaristoa abnormis (Blackwall, 1841)	Linyphiinae	2,8	4	3,4	4,83496359	Sheet web	II	0	0,6	0,32
Scytodes thoracica (Latreille, 1802)	Scytotidae	3,5	5,5	4,5	10,29516339	Other hunters	III	0		
Silometopus reussi (Thorell, 1871)	Linyphiinae	1,3	1,75	1,525	0,556530829	Sheet web	I	0	0,14	0,27
Stemonyphantes lineatus (Linnaeus, 1758)	Linyphiinae	4	7,5	5,75	19,93780154	Sheet web	III	0	0,31	0,47
Tapinocyba insecta (L. Koch, 1869)	Erigoninae	1,5	2,1	1,8	0,87023343	Other hunters	I	0	0,55	0,36
Tapinocyba praecox (O. P.-Cambridge, 1873)	Erigoninae	1,2	1,5	1,35	0,400639211	Other hunters	I	1	0,31	0,46
Tenuiphantes cristatus (Menge, 1866)	Linyphiinae	1,7	2,2	1,95	1,079860389	Sheet web	II	0	0,63	0,32
Tenuiphantes flavipes (Blackwall, 1854)	Linyphiinae	1,7	2,6	2,15	1,405091156	Sheet web	II	1	0,59	0,38
Tenuiphantes mengei (Kulczynski, 1887)	Linyphiinae	1,5	2,5	2	1,156153093	Sheet web	I	1	0,45	0,36
Tenuiphantes tenebricola (Wider, 1834)	Linyphiinae	2,1	2,8	2,45	1,998314005	Sheet web	II	1	0,66	0,33
Tenuiphantes tenuis (Blackwall, 1852)	Linyphiinae	2	4,3	3,15	3,935126488	Sheet web	II	1	0,31	0,31
Tenuiphantes zimmermanni (Bertkau, 1890)	Linyphiinae	2	3,2	2,6	2,345578227	Sheet web	II	1	0,6	0,33
Tibellus oblongus (Walckenaer, 1802)	Philodromidae	5	11,5	8,25	52,77547896	Other hunters	III	1	0,31	0,45
Tiso vagans (Blackwall, 1834)	Erigoninae	1,9	2,3	2,1	1,31871136	Other hunters	I	1	0,24	0,34
Trachyzelotes pedestris (C. L. Koch, 1837)	Gnaphosidae	4,5	9,4	6,95	33,2380145	Ground hunter	III	0	0,34	0,6
Trochosa ruricola (De Geer, 1778)	Lycosidae	7	14	10,5	101,1203322	Ground hunter	IV	0	0,22	0,32
Trochosa terricola Thorell, 1856	Lycosidae	7	14	10,5	101,1203322	Ground hunter	IV	1	0,45	0,43
Troxochrus scabriculus (Westring, 1851)	Erigoninae	1,7	2	1,85	0,936959007	Other hunters	I	1	0,22	0,3
Walckenaeria acuminata Blackwall, 1833	Erigoninae	1,8	4,5	3,15	3,935126488	Other hunters	II	1	0,5	0,37
Walckenaeria alticeps (Denis, 1952)	Erigoninae	2	2,7	2,35	1,785928419	Other hunters	II	1	0,48	0,33
Walckenaeria antica (Wider, 1834)	Erigoninae	1,5	2,7	2,1	1,31871136	Other hunters	II	1	0,35	0,44
Walckenaeria atrotibialis (O. P.-Cambridge, 1978)	Erigoninae	2	3	2,5	2,110190027	Other hunters	II	1	0,46	0,32
Walckenaeria cucullata (C. L. Koch, 1836)	Erigoninae	1,5	2,8	2,15	1,405091156	Other hunters	II	1	0,64	0,36
Walckenaeria cuspidata Blackwall, 1833	Erigoninae	2,2	2,9	2,55	2,225926897	Other hunters	II	1	0,55	0,29
Walckenaeria dysderoides (Wider, 1834)	Erigoninae	1,7	2,3	2	1,156153093	Other hunters	II	1	0,58	0,4
Walckenaeria nudipalpis (Westring, 1851)	Erigoninae	2,5	3,8	3,15	3,935126488	Other hunters	II	1	0,34	0,23
Walckenaeria unicornis O. P.-Cambridge, 1861	Erigoninae	1,7	2,5	2,1	1,31871136	Other hunters	II	1	0,31	0,29
Walckenaeria vigilax (Blackwall, 1853)	Erigoninae	2	2,7	2,35	1,785928419	Other hunters	II	1	0,18	0,28
Xysticus cristatus (Clerck, 1757)	Thomisidae	3,5	8	5,75	19,93780154	Ambush hunters	III	1	0,24	0,42
Xysticus kochi Thorell, 1872	Thomisidae	4	10,8	7,4	39,36435231	Ambush hunters	III	1	0,2	0,42
Xysticus ulmi (Hahn, 1831)	Thomisidae	3	8,3	5,65	19,01658283	Ambush hunters	III	1	0,28	0,28
Zelotes aeneus (Simon, 1878)	Gnaphosidae	4,7	7,4	6,05	22,86828746	Ground hunter	III	1	0,21	0,48
Zelotes latreillei (Simon, 1878)	Gnaphosidae	4,5	9,5	7	33,88672036	Ground hunter	III	1	0,26	0,5
Zelotes petrensis (C. L. Koch, 1839)	Gnaphosidae	3,5	8,5	6	22,36225287	Ground hunter	III	1	0,34	0,72
Zelotes subterraneus (C. L. Koch, 1833)	Gnaphosidae	3,8	9,2	6,5	27,74900417	Ground hunter	III	1	0,53	0,45
Zodarion italicum (Canestrini, 1868)	Zodaridae	1,6	4,3	2,95	3,297180882	Specialist	II	0		
Zora spinimana (Sundevall, 1833)	Miturgidae	4,5	7,7	6,1	23,38146646	Other hunters	III	1	0,43	0,39
