;Z1.2002;Z2.2002;Z3.2002;Z4.2002;Z5.2002;J2.2002;J3.2002;J4.2002;J5.2002;JR.2002;Z1.2018;Z2.2018;Z3.2018;Z4.2018;Z5.2018;J2.2018;J3.2018;J4.2018;J5.2018;JR.2018
Epipactis helleborine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0
Equisetum  arvense;0;0;0;4,375;6,25;0,05;0;0,05;0;0;0;0;0;0,14;0,04;0;0;0;0;0
Equisetum pratense;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0
Fallopia japonica;0;0;0;0;0;0;0;0;0;0;0;0;0,04;0;0;0;0;0;0;0
Festuca arundinacea;0;0;0;6,25;0;0;0;0;0;0;0;73,5;0;0,04;0;0;0;0;0;0
Festuca gigantea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,04;0;0;0;0;0
Festuca pratensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca rubra;10;7,5;1,875;10;0,625;0;0;0,625;0,625;0;0;0;52,5;0;5;0;20;0,5;0;3
Galeopsis tetrahit;0;0;0;0;0;0,625;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galium aparine;1,35;5;0;2,5;7,5;8,75;0,1;0,775;0,1;0;0,02;0;0,08;1,1;3,08;0,02;0,5;0;0,12;1,5
Galium mollugo;1,3;0;0;0;0,625;0;0,1;0;0;0;2,54;0;0;0;0;0;18,54;0;0;0
Galium verum;0;0;0;0;0;0;0;0;0,1;1,5;0;0;0;0;0;0;0;0;0;0,66
Geranium dissectum;0;0;0,625;0,75;0;0;0;0;0;0;0;0;0,04;0;0;0;0;0;0;0
Geranium pusillum;0;0;0;0;0;0;0;0;0,1;0;0;0;0;1,5;0;0;0;0;0;0
Geranum sanguineum;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0
Geum urbanum;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0,02;0;0;0;0;0
Glechoma hederacea;0;0;0;0;0;0;0;0;0;0,05;0;0,04;5,58;0;0;0;0;0;0;0
Heracleum sphondylium;1,3;5;4,375;10;2,5;0;0;0,675;0;0;3,52;10;6,02;26,5;0,5;0;1,58;0,06;0;0
Hieracium laevigatum;0;0;0;0;0,725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hirschfeldia incana;0;0;0;0;0;0;0;0;4,375;0;0;0;0;0;0;0;0;0;0;0
Holcus lanatus;0;0;0;0;0;0;5,05;0;0;11,25;0;0;2,04;0;0;0;7,04;2,5;0;1,5
Holcus mollis;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0
Hypericum dubium;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0
Hypericum perforatum;0;0;0;0;0;0,175;0;0;0,675;0,05;0,02;0;0;0;0;0;0;0;0,56;0
