LocalityDescription;TaxonomicName;NumberOfUnits
J5.2001;Pocadicnemis pumila (Blackwall, 1841);10
J5.2001;Tenuiphantes tenuis (Blackwall, 1852);7
J5.2001;Trachyzelotes pedestris (C. L. Koch, 1837);13
J5.2001;Trochosa ruricola (De Geer, 1778);1
J5.2001;Trochosa terricola Thorell, 1856;42
J5.2001;Walckenaeria antica (Wider, 1834);1
J5.2001;Walckenaeria atrotibialis (O. P.-Cambridge, 1978);2
J5.2001;Xysticus cristatus (Clerck, 1757);1
J5.2001;Xysticus kochi Thorell, 1872;1
J5.2001;Zelotes petrensis (C. L. Koch, 1839);30
J5.2001;Zora spinimana (Sundevall, 1833);2
JR.2001;Agyneta decora (O. P.-Cambridge, 1871);1
JR.2001;Agyneta rurestris (C. L. Koch, 1836);1
JR.2001;Alopecosa cuneata (Clerck, 1757);5
JR.2001;Alopecosa pulverulenta (Clerck, 1757);155
JR.2001;Arctosa leopardus (Sundevall, 1833);0
JR.2001;Aulonia albimana (Walckenaer, 1805);1
JR.2001;Ballus chalybeius (Walckenaer, 1802);0
JR.2001;Bathyphantes gracilis (Blackwall, 1841);2
JR.2001;Callilepis nocturna (Linnaeus, 1758);0
JR.2001;Centromerita bicolor (Blackwall, 1833);2
JR.2001;Centromerita concinna (Thorell, 1875);0
JR.2001;Centromerus sellarius (Simon, 1884);0
JR.2001;Centromerus serratus (O. P.-Cambridge, 1875);0
JR.2001;Cnephalocotes obscurus (Blackwall, 1834);0
JR.2001;Dicymbium nigrum (Blackwall, 1834);7
JR.2001;Diplocephalus latifrons (O. P.-Cambridge, 1863);0
JR.2001;Diplostyla concolor (Wider, 1834);7
JR.2001;Drassodes cupreus (Blackwall, 1834);0
JR.2001;Drassodes pubescens (Thorell, 1856);1
JR.2001;Drassyllus lutetianus (L. Koch, 1866);16
JR.2001;Drassyllus pusillus (C. L. Koch, 1833);17
JR.2001;Dysdera crocata C. L. Koch, 1838;0
JR.2001;Enoplognatha latimana Hippa & Oksala, 1982;0
JR.2001;Enoplognatha mordax (Thorell, 1875);0
JR.2001;Eratigena agrestis (Walckenaer, 1802);0
JR.2001;Erigone atra Blackwall, 1833;35
JR.2001;Erigone dentipalpis (Wider, 1834);0
JR.2001;Euryopis flavomaculata (C. L. Koch, 1836);0
JR.2001;Hahnia nava (Blackwall, 1841);65
JR.2001;Hahnia pusilla C. L. Koch, 1841;0
JR.2001;Haplodrassus signifer (C. L. Koch, 1839);0
JR.2001;Harpactea rubicunda (C. L. Koch, 1838);0
JR.2001;Histopona torpida (C. L. Koch, 1837);0
JR.2001;Lepthyphantes leprosus (Ohlert, 1865);0
JR.2001;Mermessus trilobatus (Emerton, 1882);0
JR.2001;Micaria pulicaria (Sundevall, 1831);1
JR.2001;Micrargus subaequalis (Westring, 1851);6
JR.2001;Neon reticulatus (Blackwall, 1853);0
JR.2001;Neottiura bimaculata (Linnaeus, 1767);0
JR.2001;Oedothorax apicatus (Blackwall, 1850);1
JR.2001;Oedothorax fuscus (Blackwall, 1834);0
JR.2001;Oedothorax retusus (Westring, 1851);0
JR.2001;Ozyptila simplex (O. P.-Cambridge, 1862);31
JR.2001;Ozyptila trux (Blackwall, 1846);0
JR.2001;Pachygnatha degeeri Sundevall, 1830;69
JR.2001;Palliduphantes pallidus (O. P.-Cambridge, 1871);2
JR.2001;Pardosa agrestis (Westring, 1861);0
JR.2001;Pardosa amentata (Clerck, 1757);0
JR.2001;Pardosa nigriceps (Thorell, 1856);6
JR.2001;Pardosa palustris (Linnaeus, 1758);31
JR.2001;Pardosa prativaga (L. Koch, 1870);474
JR.2001;Pardosa pullata (Clerck, 1757);322
JR.2001;Pelecopsis parallela (Wider, 1834);1
JR.2001;Phlegra fasciata (Hahn, 1826);0
JR.2001;Phrurolithus festivus (C. L. Koch, 1835);4
JR.2001;Piratula hygrophila (Thorell, 1872);1
JR.2001;Pisaura mirabilis (Clerck, 1757);0
JR.2001;Pocadicnemis juncea Locket & Millidge, 1953;3
JR.2001;Pocadicnemis pumila (Blackwall, 1841);6
JR.2001;Porrhomma campbelli F. O. P.-Cambridge, 1894;0
JR.2001;Porrhomma microphthalmum (O. P.-Cambridge, 1871);0
JR.2001;Stemonyphantes lineatus (Linnaeus, 1758);1
JR.2001;Tenuiphantes cristatus (Menge, 1866);0
JR.2001;Tenuiphantes flavipes (Blackwall, 1854);0
JR.2001;Tenuiphantes mengei (Kulczynski, 1887);0
JR.2001;Tenuiphantes tenuis (Blackwall, 1852);4
JR.2001;Tenuiphantes zimmermanni (Bertkau, 1890);0
JR.2001;Tibellus oblongus (Walckenaer, 1802);0
JR.2001;Tiso vagans (Blackwall, 1834);5
JR.2001;Trochosa ruricola (De Geer, 1778);2
JR.2001;Trochosa terricola Thorell, 1856;10
JR.2001;Troxochrus scabriculus (Westring, 1851);5
JR.2001;Walckenaeria acuminata Blackwall, 1833;1
JR.2001;Walckenaeria alticeps (Denis, 1952);0
JR.2001;Walckenaeria antica (Wider, 1834);3
JR.2001;Walckenaeria atrotibialis (O. P.-Cambridge, 1978);8
JR.2001;Walckenaeria cucullata (C. L. Koch, 1836);0
JR.2001;Walckenaeria nudipalpis (Westring, 1851);0
JR.2001;Xysticus cristatus (Clerck, 1757);6
JR.2001;Xysticus kochi Thorell, 1872;7
JR.2001;Xysticus ulmi (Hahn, 1831);6
JR.2001;Zelotes aeneus (Simon, 1878);0
JR.2001;Zelotes latreillei (Simon, 1878);6
JR.2001;Zelotes petrensis (C. L. Koch, 1839);1
JR.2001;Zodarion italicum (Canestrini, 1868);0
JR.2001;Zora spinimana (Sundevall, 1833);3
J5.2001;Agroeca cuprea Menge, 1873;0
J5.2001;Agyneta saxatilis (Blackwall, 1844);0
J5.2001;Atypus affinis Eichwald, 1830;0
J5.2001;Coelotes terrestris (Wider, 1834);0
J5.2001;Dicymbium tibiale (Blackwall, 1836);0
J5.2001;Neriene hammeni (van Helsdingen, 1963);0
J5.2001;Ozyptila claveata (Walckenaer, 1837);0
J5.2001;Palliduphantes ericaeus (Blackwall, 1853);0
J5.2001;Collinsia inerrans (O. P.-Cambridge, 1885);0
J5.2001;Diplocephalus cristatus (Blackwall, 1833);0
J5.2001;Gongylidiellum vivum (O. P.-Cambridge, 1875);0
J5.2001;Leptorhoptrum robustum (Westring, 1851);0
J5.2001;Monocephalus fuscipes (Blackwall, 1836);0
J5.2001;Piratula latitans (Blackwall, 1841);0
J5.2001;Araeoncus humilis (Blackwall, 1841);0
J5.2001;Ostearius melanopygius (O. P.-Cambridge, 1879);0
J5.2001;Porrhomma errans (Blackwall, 1841);0
J5.2001;Silometopus reussi (Thorell, 1871);0
J5.2001;Erigone longipalpis (Sundevall, 1830);0
J5.2001;Gongylidiellum latebricola (O. P.-Cambridge, 1871);0
J5.2001;Metellina mengei (Blackwall, 1869);0
J5.2001;Pelecopsis radicicola (L. Koch, 1872);0
J5.2001;Saaristoa abnormis (Blackwall, 1841);0
J5.2001;Walckenaeria cuspidata Blackwall, 1833;0
J5.2001;Agelena labyrinthica (Clerck, 1757);0
J5.2001;Pardosa saltans;0
J5.2001;Atypus piceus (Sulzer, 1776);0
J5.2001;Clubiona comta C. L. Koch, 1839;0
J5.2001;Piratula uliginosa (Thorell, 1856);0
J5.2001;Pardosa tenuipes;0
J5.2001;Bolyphantes alticeps (Sundevall, 1833);0
J5.2001;Scytodes thoracica (Latreille, 1802);0
