LocalityDescription;TaxonomicName;NumberOfUnits
J2.2001;Alopecosa pulverulenta (Clerck, 1757);1
J2.2001;Aulonia albimana (Walckenaer, 1805);1
J2.2001;Bathyphantes parvulus (Westring, 1851);2
J2.2001;Ceratinella brevis (Wider, 1834);18
J2.2001;Cicurina cicur (Fabricius, 1793);8
J2.2001;Clubiona reclusa O. P.-Cambridge, 1863;1
J2.2001;Diplostyla concolor (Wider, 1834);4
J2.2001;Drassyllus lutetianus (L. Koch, 1866);1
J2.2001;Drassyllus pusillus (C. L. Koch, 1833);2
J2.2001;Erigone atra Blackwall, 1833;1
J2.2001;Ero cambridgei Kulczynski, 1911;1
J2.2001;Hahnia nava (Blackwall, 1841);33
J2.2001;Micrargus herbigradus (Blackwall, 1854);1
J2.2001;Neriene clathrata (Sundevall, 1830);1
J2.2001;Oedothorax apicatus (Blackwall, 1850);2
J2.2001;Ozyptila praticola (C. L. Koch, 1837);6
J2.2001;Ozyptila simplex (O. P.-Cambridge, 1862);62
J2.2001;Pachygnatha degeeri Sundevall, 1830;30
J2.2001;Pardosa nigriceps (Thorell, 1856);3
J2.2001;Pardosa prativaga (L. Koch, 1870);88
J2.2001;Pardosa pullata (Clerck, 1757);13
J2.2001;Stemonyphantes lineatus (Linnaeus, 1758);1
J2.2001;Tapinocyba insecta (L. Koch, 1869);1
J2.2001;Tenuiphantes tenuis (Blackwall, 1852);7
J2.2001;Trachyzelotes pedestris (C. L. Koch, 1837);2
J2.2001;Trochosa ruricola (De Geer, 1778);1
J2.2001;Trochosa terricola Thorell, 1856;21
J2.2001;Walckenaeria acuminata Blackwall, 1833;1
J2.2001;Walckenaeria antica (Wider, 1834);1
J2.2001;Walckenaeria dysderoides (Wider, 1834);12
J2.2001;Walckenaeria unicornis O. P.-Cambridge, 1861;3
J2.2001;Xysticus cristatus (Clerck, 1757);1
J2.2001;Zelotes latreillei (Simon, 1878);1
J3.2001;Agroeca brunnea (Blackwall, 1833);1
J3.2001;Bathyphantes gracilis (Blackwall, 1841);4
J3.2001;Bathyphantes parvulus (Westring, 1851);1
J3.2001;Centromerita bicolor (Blackwall, 1833);1
J3.2001;Centromerus sylvaticus (Blackwall, 1841);1
J3.2001;Ceratinella brevis (Wider, 1834);5
J3.2001;Cicurina cicur (Fabricius, 1793);8
J3.2001;Clubiona reclusa O. P.-Cambridge, 1863;2
J3.2001;Dicymbium nigrum (Blackwall, 1834);3
J3.2001;Diplostyla concolor (Wider, 1834);20
J3.2001;Drassyllus lutetianus (L. Koch, 1866);2
J3.2001;Drassyllus pusillus (C. L. Koch, 1833);1
J3.2001;Eratigena picta (Simon, 1870);2
J3.2001;Erigone atra Blackwall, 1833;7
J3.2001;Ero furcata (Villers, 1789);1
J3.2001;Hahnia nava (Blackwall, 1841);40
J3.2001;Micrargus herbigradus (Blackwall, 1854);2
J3.2001;Oedothorax apicatus (Blackwall, 1850);1
J3.2001;Pachygnatha clercki Sundevall, 1823;9
J3.2001;Pachygnatha degeeri Sundevall, 1830;70
J3.2001;Pardosa lugubris s. l.;1
J3.2001;Pardosa palustris (Linnaeus, 1758);4
J3.2001;Pardosa prativaga (L. Koch, 1870);180
J3.2001;Pardosa pullata (Clerck, 1757);25
J3.2001;Phrurolithus festivus (C. L. Koch, 1835);1
J3.2001;Piratula hygrophila (Thorell, 1872);7
J3.2001;Pocadicnemis pumila (Blackwall, 1841);1
J3.2001;Robertus lividus (Blackwall, 1836);2
J3.2001;Tapinocyba insecta (L. Koch, 1869);2
J3.2001;Tapinocyba praecox (O. P.-Cambridge, 1873);1
J3.2001;Tenuiphantes tenebricola (Wider, 1834);1
J3.2001;Tenuiphantes tenuis (Blackwall, 1852);13
J3.2001;Trochosa terricola Thorell, 1856;13
J3.2001;Walckenaeria acuminata Blackwall, 1833;3
J3.2001;Walckenaeria atrotibialis (O. P.-Cambridge, 1978);4
J3.2001;Xysticus kochi Thorell, 1872;1
J3.2001;Xysticus ulmi (Hahn, 1831);10
J3.2001;Zelotes latreillei (Simon, 1878);3
J3.2001;Zelotes subterraneus (C. L. Koch, 1833);1
J4.2001;Alopecosa pulverulenta (Clerck, 1757);4
J4.2001;Bathyphantes parvulus (Westring, 1851);2
J4.2001;Ceratinella scabrosa (O. P.-Cambridge, 1871);4
J4.2001;Clubiona lutescens Westring, 1851;2
J4.2001;Clubiona reclusa O. P.-Cambridge, 1863;1
J4.2001;Diplostyla concolor (Wider, 1834);13
J4.2001;Enoplognatha thoracica (Hahn, 1833);1
J4.2001;Eratigena picta (Simon, 1870);6
J4.2001;Erigone atra Blackwall, 1833;3
J4.2001;Gonatium rubens (Blackwall, 1833);2
J4.2001;Hahnia nava (Blackwall, 1841);5
J4.2001;Micaria pulicaria (Sundevall, 1831);1
J4.2001;Micrargus herbigradus (Blackwall, 1854);1
J4.2001;Neriene clathrata (Sundevall, 1830);1
J4.2001;Oedothorax apicatus (Blackwall, 1850);7
J4.2001;Ozyptila praticola (C. L. Koch, 1837);21
J4.2001;Ozyptila simplex (O. P.-Cambridge, 1862);8
J4.2001;Pachygnatha degeeri Sundevall, 1830;11
J4.2001;Palliduphantes insignis (O. P.-Cambridge, 1913);1
J4.2001;Palliduphantes pallidus (O. P.-Cambridge, 1871);2
J4.2001;Pardosa palustris (Linnaeus, 1758);2
J4.2001;Pardosa prativaga (L. Koch, 1870);179
J4.2001;Pardosa pullata (Clerck, 1757);11
J4.2001;Phrurolithus festivus (C. L. Koch, 1835);1
J4.2001;Pocadicnemis pumila (Blackwall, 1841);1
J4.2001;Robertus lividus (Blackwall, 1836);1
J4.2001;Tenuiphantes tenuis (Blackwall, 1852);9
J4.2001;Trachyzelotes pedestris (C. L. Koch, 1837);2
J4.2001;Trochosa terricola Thorell, 1856;19
J4.2001;Troxochrus scabriculus (Westring, 1851);1
J4.2001;Walckenaeria vigilax (Blackwall, 1853);1
J4.2001;Zelotes latreillei (Simon, 1878);1
J4.2001;Zelotes petrensis (C. L. Koch, 1839);2
J4.2001;Zora spinimana (Sundevall, 1833);1
J5.2001;Alopecosa pulverulenta (Clerck, 1757);26
J5.2001;Argenna subnigra (O. P.-Cambridge, 1861);1
J5.2001;Clubiona neglecta O. P.-Cambridge, 1862;3
J5.2001;Diplostyla concolor (Wider, 1834);1
J5.2001;Drassyllus pusillus (C. L. Koch, 1833);2
J5.2001;Dysdera crocata C. L. Koch, 1838;8
J5.2001;Dysdera erythrina (Walckenaer, 1802);1
J5.2001;Eratigena atrica (C. L. Koch, 1843);2
J5.2001;Eratigena picta (Simon, 1870);8
J5.2001;Ero furcata (Villers, 1789);1
J5.2001;Euophrys frontalis (Walckenaer, 1802);1
J5.2001;Hahnia nava (Blackwall, 1841);1
J5.2001;Micaria pulicaria (Sundevall, 1831);3
J5.2001;Ozyptila atomaria (Panzer, 1801);1
J5.2001;Ozyptila praticola (C. L. Koch, 1837);5
J5.2001;Pachygnatha degeeri Sundevall, 1830;2
J5.2001;Pardosa prativaga (L. Koch, 1870);6
J5.2001;Phrurolithus festivus (C. L. Koch, 1835);1
